('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569323 function calls (546299 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       28    0.000    0.000    0.000    0.000 typing.py:266(_remove_dups_flatten)
       59    0.000    0.000    0.001    0.000 typing.py:1130(copy_with)
        2    0.000    0.000    0.005    0.002 models.py:1(<module>)
       27    0.000    0.000    0.001    0.000 typing.py:1206(__getitem__)
       92    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       42    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.000    0.000 request.py:426(OpenerDirector)
      316    0.000    0.000    0.000    0.000 enum.py:801(value)
      146    0.000    0.000    0.000    0.000 socket.py:730(readable)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2181(__init__)
      293    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
       22    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       44    0.000    0.000    0.544    0.012 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.098    0.098 financial.py:22(page_parser)
        1    0.000    0.000    0.000    0.000 zipfile.py:2160(CompleteDirs)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
        1    0.000    0.000    0.030    0.030 connectionpool.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
      197    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       39    0.000    0.000    0.001    0.000 element.py:1518(__getattr__)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
